Northern Mariana Islands;Saipan
Costa Rica;San José
Puerto Rico;San Juan
San Marino;San Marino
El Salvador;San Salvador
Chile;Santiago
Dominican Republic;Santo Domingo
São Tomé and Príncipe;São Tomé
Bosnia and Herzegovina;Sarajevo
South Korea;Seoul
Singapore;Singapore
North Macedonia;Skopje
Bulgaria;Sofia
Kiribati;South Tarawa
Grenada;St. George's
Jersey;St. Helier
Antigua and Barbuda;St. John's
Guernsey;St. Peter Port
Saint Pierre and Miquelon;St. Pierre
Falkland Islands;Stanley
Sweden;Stockholm
Abkhazia;Sukhumi
Fiji;Suva
Taiwan;Taipei
Estonia;Tallinn
Uzbekistan;Tashkent
Georgia;Tbilisi
Honduras;Tegucigalpa
Honduras;Comayagüela
Iran;Tehran
Bhutan;Thimphu
Albania;Tirana
Transnistria;Tiraspol
Japan;Tokyo
Faroe Islands;Tórshavn
Libya;Tripoli
South Ossetia;Tskhinvali
Tunisia;Tunis
Mongolia;Ulaanbaatar
Liechtenstein;Vaduz
Malta;Valletta
Anguilla;The Valley
Vatican City;Vatican City
Seychelles;Victoria
Austria;Vienna
Laos;Vientiane
Lithuania;Vilnius
Poland;Warsaw
United States;Washington, D.C.
New Zealand;Wellington
Cocos (Keeling) Islands;West Island
Curaçao;Willemstad
Namibia;Windhoek
Cameroon;Yaoundé
Nauru;Yaren (de facto)
Armenia;Yerevan
Croatia;Zagreb
